week_start,issues_opened,issue_comments,issues_closed,commits,commit_comments,code_additions,code_deletions,contributor_count
2014-04-08,0,0,0,11,0,20,0,2
2014-04-15,0,0,0,0,0,0,0,0
2014-04-22,2,2,1,5,1,1842,223,3
2014-04-29,6,12,5,3,0,799,1,6
2014-05-06,7,16,7,3,0,496,0,5
2014-05-13,7,14,3,3,0,159,43,6
2014-05-20,0,0,2,1,0,113,31,1
2014-05-27,13,14,5,9,0,1853,242,5
2014-06-03,19,28,18,28,0,51840,5024,5
2014-06-10,16,19,4,20,0,34975,28331,9
2014-06-17,25,28,16,32,6,52981,14237,11
2014-06-24,43,49,28,65,6,17115,3749,10
2014-07-01,2,10,1,26,0,35318,203,8
2014-07-08,5,8,4,13,0,406,220,6
2014-07-15,10,42,12,28,0,3479,387,10
2014-07-22,17,31,11,37,1,11511,225,15
2014-07-29,23,41,16,25,0,2268,126,16
2014-08-05,11,24,8,39,0,158842,94419,16
2014-08-12,14,14,14,27,0,84386,6829,11
2014-08-19,19,31,7,36,0,1127692,741154,14
2014-08-26,6,10,5,15,2,391531,57040,10
2014-09-02,2,5,1,31,1,3282492,1619557,10
2014-09-09,9,8,6,24,0,22335,365,8
2014-09-16,3,9,12,11,0,1478,400,4
