repo,weeks_old,contributors,issues,issue_comments,closed_issues,comments_per_closed,issues_per_week,closed_per_week,commits,commit_comments,comments_per_commit,commits_per_week,code_additions,code_deletions,additions_per_week,deletions_per_week,contributors_per_week
Data_Coordinating_Center,23.857142857142858,3,68,72,53,1.3584905660377358,2.8502994011976046,2.2215568862275448,52,0,0.0,2.179640718562874,42104,4683,1764.8383233532934,196.29341317365268,1.1736526946107784
Data_Models,13.285714285714286,3,41,140,21,6.666666666666667,3.086021505376344,1.5806451612903225,27,0,0.0,2.032258064516129,1883,68,141.7311827956989,5.118279569892473,5.494623655913978
Site1,23.857142857142858,2,10,16,8,2.0,0.41916167664670656,0.33532934131736525,57,0,0.0,2.3892215568862274,3030,147,127.0059880239521,6.161676646706587,0.7125748502994012
Site2,23.857142857142858,2,1,2,0,0.0,0.041916167664670656,0.0,23,0,0.0,0.9640718562874251,210491,4077,8822.97604790419,170.89221556886227,0.4610778443113772
Site3,23.857142857142858,3,5,6,2,3.0,0.20958083832335328,0.08383233532934131,57,0,0.0,2.3892215568862274,4838065,2493489,202793.14371257485,104517.50299401197,0.8383233532934131
Site4,23.857142857142858,2,1,0,0,0.0,0.041916167664670656,0.0,7,0,0.0,0.2934131736526946,1016,1,42.58682634730539,0.041916167664670656,0.12574850299401197
Site5,23.857142857142858,3,2,6,0,0.0,0.08383233532934131,0.0,35,1,0.02857142857142857,1.467065868263473,26537,15683,1112.3293413173653,657.3712574850299,0.7125748502994012
BoardQuery,3.4285714285714284,6,5,3,5,0.6,1.4583333333333335,1.4583333333333335,36,3,0.08333333333333333,10.5,101660,47693,29650.833333333336,13910.458333333334,3.2083333333333335
pedsnet_achilles,4.0,1,1,1,1,1.0,0.25,0.25,1,0,0.0,0.25,68,0,17.0,0.0,0.5
Site6,23.857142857142858,4,98,136,86,1.5813953488372092,4.107784431137724,3.6047904191616764,132,13,0.09848484848484848,5.532934131736527,18930,6188,793.4730538922156,259.377245508982,2.8922155688622753
pedsnet_harvest,0.7142857142857143,4,0,0,0,0.0,0.0,0.0,149,0,0.0,208.6,155741,20444,218037.4,28621.6,0.0
Site7,23.857142857142858,2,1,3,0,0.0,0.041916167664670656,0.0,13,0,0.0,0.5449101796407185,30913,0,1295.754491017964,0.0,0.2934131736526946
Site8,23.857142857142858,3,10,10,2,5.0,0.41916167664670656,0.08383233532934131,20,0,0.0,0.8383233532934131,4112,146,172.35928143712576,6.119760479041916,0.5449101796407185
dcc-loader,13.142857142857142,3,16,20,8,2.5,1.2173913043478262,0.6086956521739131,36,0,0.0,2.739130434782609,5132,631,390.47826086956525,48.01086956521739,1.4456521739130435
total,24.0,56,259,415,186,2.2311827956989245,10.791666666666666,7.75,645,17,0.02635658914728682,26.875,5439682,2593250,226653.41666666666,108052.08333333333,7.958333333333333
